Find:,Replace with:
American Virgin Islands,US Virgin Islands
Antigua and Barbuda,Antigua & Barbuda
Bonaire,_none
Botsuana,Botswana
Cape Verde,Cape Verde Islands
Cayman-Inseln,Cayman Islands
Chinese Taipei (Taiwan),Chinese Taipei
Congo DR,Democratic Republic of Congo
Congo,The Congo
Cookinseln,Cook Islands
Cote d'Ivoire,Ivory Coast
Falkland Islands,_none
Faroe Island,Faroe Islands
Federated States of Micronesia,_none
French Guiana,_none
Greenland,_none
Guadeloupe,_none
Guine,Guinea
Hongkong,Hong Kong
Ireland,Republic of Ireland
Kiribati,_none
Korea North,North Korea
Korea South,South Korea
Macao,Macau
Macedonia,FYR of Macedonia
Mariana Islands,_none
Marshall Islands,_none
Martinique,_none
Monaco,_none
Nauru,_none
Netherlands,Holland
Neukaledonien,New Caledonia
Niue,_none
Osttimor,Timor
Palästina,Palestine
Palau,_none
Philippines,The Philippines
Réunion,_none
Saint-Martin,_none
Sao Tome and Principe,São Tomé & Principe
Sint Maarten,_none
Southern Sudan,South Sudan
St. Kitts &Nevis,St Kitts & Nevis
St. Lucia,Saint Lucia
St. Vincent & Grenadinen,St Vincent & The Grenadines
Suriname,Surinam
Tibet,_none
Trinidad and Tobago,Trinidad & Tobago
Turks- and Caicosinseln,Turks and Caicos Islands
Tuvalu,_none
Vatican,_none
Zanzibar,_none
